signal_date,ticker,weight
2026-05-14,AABA,0.0
2026-05-14,AACB,0.0
2026-05-14,AACI,0.0
2026-05-14,AACO,0.0
2026-05-14,AACQ,0.0
2026-05-14,AADI,0.0
2026-05-14,AAGR,0.0
2026-05-14,AAIT,0.0
2026-05-14,AAL,0.0
2026-05-14,AAME,0.0
2026-05-14,AAOI,0.0
2026-05-14,AAON,0.004464285714285714
2026-05-14,AAPC,0.0
2026-05-14,AAPL,0.0
2026-05-14,AARD,0.0
2026-05-14,AATC,0.0
2026-05-14,AAVL,0.0
2026-05-14,AAWW,0.0
2026-05-14,ABAC,0.0
2026-05-14,ABAT,0.0
2026-05-14,ABAX,0.0
2026-05-14,ABCD,0.0
2026-05-14,ABCL,0.0
2026-05-14,ABCO,0.0
2026-05-14,ABCW,0.0
2026-05-14,ABDC,0.0
2026-05-14,ABEO,0.0
2026-05-14,ABEO.W,0.0
2026-05-14,ABFS,0.0
2026-05-14,ABGB,0.0
2026-05-14,ABGI,0.0
2026-05-14,ABIL,0.0
2026-05-14,ABIL.W,0.0
2026-05-14,ABIO,0.0
2026-05-14,ABL,0.0
2026-05-14,ABLLL,0.0
2026-05-14,ABLV,0.0
2026-05-14,ABMD,0.0
2026-05-14,ABNB,0.0
2026-05-14,ABOS,0.0
2026-05-14,ABP,0.0
2026-05-14,ABSI,0.004464285714285714
2026-05-14,ABST,0.0
2026-05-14,ABTC,0.0
2026-05-14,ABTL,0.0
2026-05-14,ABTS,0.0
2026-05-14,ABTX,0.0
2026-05-14,ABUS,0.0
2026-05-14,ABVC,0.0
2026-05-14,ABVE,0.0
2026-05-14,ABY,0.0
2026-05-14,ACAA,0.0
2026-05-14,ACAB,0.0
2026-05-14,ACAC,0.0
2026-05-14,ACAD,0.0
2026-05-14,ACAH,0.0
2026-05-14,ACAM,0.0
2026-05-14,ACAS,0.0
2026-05-14,ACAT,0.0
2026-05-14,ACAX,0.0
2026-05-14,ACB,0.0
2026-05-14,ACBA,0.0
2026-05-14,ACBI,0.0
2026-05-14,ACCD,0.0
2026-05-14,ACCL,0.0
2026-05-14,ACCP,0.0
2026-05-14,ACDC,0.0
2026-05-14,ACER,0.0
2026-05-14,ACET,0.0
2026-05-14,ACEV,0.0
2026-05-14,ACFC,0.0
2026-05-14,ACFN,0.0
